date,count
19-12-01,1
19-12-02,0
19-12-03,0
19-12-04,0
19-12-05,0
19-12-06,0
19-12-07,0
19-12-08,0
19-12-09,0
19-12-10,0
19-12-11,3
19-12-12,0
19-12-13,0
19-12-14,0
19-12-15,0
19-12-16,2
19-12-17,0
19-12-18,1
19-12-19,1
19-12-20,1
19-12-21,5
19-12-22,4
19-12-23,3
19-12-24,8
19-12-25,1
19-12-26,3
19-12-27,2
19-12-28,2
19-12-29,0
19-12-30,0
19-12-31,0
20-01-01,3
20-01-02,1
20-01-03,0
20-01-04,0
20-01-05,0
20-01-06,0
20-01-07,0
20-01-08,0
20-01-09,0
20-01-10,0
20-01-11,0
20-01-12,0
20-01-13,0
20-01-14,0
20-01-15,0
20-01-16,4
20-01-17,17
20-01-18,59
20-01-19,77
20-01-20,60
20-01-21,12
20-01-22,0
