date,province,quantile_01.0,quantile_02.5,quantile_25.0,median,quantile_75.0,quantile_97.5,quantile_99.0,mean
2019-12-17,Hainan,1,1,1,1,1,2.4499999999999993,2.780000000000001,1.2608695652173914
2019-12-17,Hebei,1,1,1,1,1,1.625,1.8499999999999996,1.0625
2019-12-17,Heilongjiang,1,1,1,1,1,2,2,1.15
2019-12-17,Henan,1,1,1,2,3,4.849999999999994,6.140000000000001,2.1264367816091956
2019-12-17,Hong Kong,1,1,1,1,1,1,1,1
2019-12-17,Hubei,15.99,16,22,27,33.25,61.574999999999974,85.06000000000003,29.81
2019-12-17,Hunan,1,1,1,2,3,4,4.280000000000001,1.917808219178082
2019-12-17,Inner Mongolia,1,1,1,1,1,1,1,1
2019-12-17,Jiangsu,1,1,1,1,1.5,3,3.539999999999999,1.3617021276595744
2019-12-17,Jiangxi,1,1,1,1,2,3.799999999999997,5.039999999999992,1.489795918367347
2019-12-17,Jilin,1,1,1,1,1,1,1,1
2019-12-17,Liaoning,1,1,1,1,2,3,3,1.36
2019-12-17,Ningxia,1,1,1,1,1,1,1,1
2019-12-17,Qinghai,1,1,1,1,1,1,1,1
2019-12-17,Shaanxi,1,1,1,1,1,2.4499999999999993,2.780000000000001,1.2608695652173914
2019-12-17,Shandong,1,1,1,1,2,3,3.509999999999998,1.46
2019-12-17,Shanghai,1,1,1,1,2,4,4,1.5862068965517242
2019-12-17,Shanxi,1,1,1,1,1,2,2,1.1538461538461537
2019-12-17,Sichuan,1,1,1,1,2,3,3.9200000000000017,1.509090909090909
2019-12-17,Taiwan,1,1,1,1,1,1,1,1
2019-12-17,Tianjin,1,1,1,1,1,2,2,1.1818181818181819
2019-12-17,Xinjiang,1,1,1,1,1,1,1,1
2019-12-17,Yunnan,1,1,1,1,1,1,1,1
2019-12-17,Zhejiang,1,1,1,2,3,5.875,6,2.313953488372093
2019-12-18,Anhui,1,1,1,2,3,5,5.690000000000012,2
2019-12-18,Beijing,1,1,1,1,2,5.399999999999999,6,1.8
2019-12-18,Chongqing,1,1,1,2,3,5,6,2.2804878048780486
2019-12-18,Fujian,1,1,1,1,2,2.125,2.6499999999999986,1.3055555555555556
2019-12-18,Gansu,1,1,1,1,1,1.7750000000000004,1.9100000000000001,1.1
2019-12-18,Guangdong,1,1,2,2,4,7,7,3.0210526315789474
2019-12-18,Guangxi,1,1,1,1,2,3,3.4200000000000017,1.4067796610169492
2019-12-18,Guizhou,1,1,1,1,1,1,1,1
2019-12-18,Hainan,1,1,1,1,1,3,3,1.2857142857142858
2019-12-18,Hebei,1,1,1,1,1,2,2,1.1111111111111112
2019-12-18,Heilongjiang,1,1,1,1,1,2,2,1.1666666666666667
2019-12-18,Henan,1,1,1,2,3,5.75,6.099999999999994,2.3076923076923075
2019-12-18,Hong Kong,1,1,1,1,1,1,1,1
2019-12-18,Hubei,18,19,26,32,39,73.14999999999995,100.09000000000005,34.8
2019-12-18,Hunan,1,1,1,2,3,5,5.230000000000004,2.1025641025641026
2019-12-18,Inner Mongolia,1,1,1,1,1,1,1,1
2019-12-18,Jiangsu,1,1,1,1,2,3,3.460000000000001,1.4363636363636363
2019-12-18,Jiangxi,1,1,1,1,2,4,4.939999999999998,1.5925925925925926
2019-12-18,Jilin,1,1,1,1,1,1,1,1
2019-12-18,Liaoning,1,1,1,1,2,3.375,3.75,1.5
2019-12-18,Ningxia,1,1,1,1,1,1,1,1
2019-12-18,Qinghai,1,1,1,1,1,1,1,1
2019-12-18,Shaanxi,1,1,1,1,1.75,2.75,3.5,1.3461538461538463
2019-12-18,Shandong,1,1,1,1,2,4,4,1.6274509803921569
2019-12-18,Shanghai,1,1,1,1,2,4,4,1.7333333333333334
2019-12-18,Shanxi,1,1,1,1,1,2,2,1.2
2019-12-18,Sichuan,1,1,1,1,2,3,3.8599999999999994,1.5862068965517242
2019-12-18,Taiwan,1,1,1,1,1,1,1,1
2019-12-18,Tianjin,1,1,1,1,1.25,2.4250000000000007,2.7699999999999996,1.2916666666666667
2019-12-18,Xinjiang,1,1,1,1,1,1,1,1
2019-12-18,Yunnan,1,1,1,1,1,1,1,1
2019-12-18,Zhejiang,1,1,2,2,4,6,6.1200000000000045,2.6741573033707864
2019-12-19,Anhui,1,1,1,2,3,6,7.400000000000006,2.1481481481481484
2019-12-19,Beijing,1,1,1,1,2,5.200000000000003,6.280000000000001,1.9315068493150684
2019-12-19,Chongqing,1,1,1.75,2,3,5.924999999999997,6.170000000000002,2.5
2019-12-19,Fujian,1,1,1,1,2,3.0749999999999957,3.6300000000000026,1.394736842105263
2019-12-19,Gansu,1,1,1,1,1,1.7750000000000004,1.9100000000000001,1.1
2019-12-19,Guangdong,1,1,2,3,5,8,9.030000000000001,3.4489795918367347
2019-12-19,Guangxi,1,1,1,1,2,3,3.3900000000000006,1.4516129032258065
2019-12-19,Guizhou,1,1,1,1,1,1,1,1
2019-12-19,Hainan,1,1,1,1,1.25,3.224999999999998,3.6900000000000013,1.34375
2019-12-19,Hebei,1,1,1,1,1,2.4250000000000007,2.7699999999999996,1.125
2019-12-19,Heilongjiang,1,1,1,1,1,2,2,1.2413793103448276
2019-12-19,Henan,1,1,1,2,3,6,7.159999999999997,2.5806451612903225
2019-12-19,Hong Kong,1,1,1,1,1,1,1,1
2019-12-19,Hubei,21,22.475,31,38,45,85.04999999999998,114.15000000000008,40.75
2019-12-19,Hunan,1,1,1,2,3,5,6.170000000000002,2.3214285714285716
2019-12-19,Inner Mongolia,1,1,1,1,1,1,1,1
2019-12-19,Jiangsu,1,1,1,1,2,3.5749999999999957,4,1.4655172413793103
2019-12-19,Jiangxi,1,1,1,1,2,4,4.840000000000003,1.6610169491525424
2019-12-19,Jilin,1,1,1,1,1,1,1,1
2019-12-19,Liaoning,1,1,1,1,2,4,4,1.6071428571428572
