"","alpha","sigma"
"706",2.209101777699,6.8266708831146
"707",2.5222506752874,5.412361101958
"708",3.19780933342305,6.04238154591969
"709",2.24654797317819,5.29401182045784
"710",2.45032895044861,6.21472733526538
"711",2.34773200903141,5.82507686085034
"712",1.76377712305367,6.75979856171731
"713",2.92060454778087,5.49642275714005
"714",2.67789815758659,6.89471034641591
"715",3.46791099527852,5.13334641983326
"716",3.99948016552999,6.74275044143847
"717",2.56080481732864,7.29572510674109
"718",2.20658034350148,8.16104896087097
"719",2.64439420808571,5.87086564435382
"720",2.95201171816956,6.43034864301272
"721",3.0444061784237,6.34187983667437
"722",3.6450461776832,7.25289677478129
"723",2.08634032876061,7.18169101362373
"724",2.52193552213075,6.4487793919612
"725",3.51205869749655,6.67286686008323
"726",2.52011800916611,6.06673671282953
"727",2.06998137381902,5.02306081389918
"728",1.38433170969255,7.67020049711027
"729",2.67993650033361,5.82580681723473
"730",1.49083957274523,7.00976685952642
"731",2.4875206927443,7.42208922026676
"732",2.84497460353969,7.43601922074241
"733",3.27373364629888,6.0809396670901
"734",2.77780403952341,6.58677602214806
"735",1.6886256607851,6.72913866913198
